Price,Sold,Cluster
40000,96,0
40000,2,0
40000,17,0
40000,2,0
40000,7,0
40000,7,0
40000,0,0
40000,14,0
40000,86,0
40000,4,0
40000,10,0
40000,0,0
40000,6,0
40000,3,0
40000,5,0
39900,194,0
39600,23,0
39600,84,0
39520,34,0
39520,10,0
39520,12,0
39500,27,0
39500,12,0
39500,18,0
39500,28,0
39140,190,0
39000,1183,0
39000,99,0
39000,56,0
39000,55,0
39000,44,0
38999,113,0
38998,177,0
38900,220,0
38900,24,0
38900,20,0
38900,5,0
38900,4,0
38800,0,0
38700,319,0
38500,30,0
38500,60,0
38400,4,0
38400,279,0
38000,11,0
38000,224,0
38000,8,0
38000,16,0
38000,29,0
38000,20,0
38000,16,0
38000,9,0
38000,2,0
38000,1,0
38000,1,0
37999,95,0
37900,4,0
37800,524,0
37700,5,0
37600,0,0
37500,26,0
37500,6,0
37500,7,0
37500,4,0
37206,71,0
37000,7,0
37000,5,0
36999,124,0
36999,4,0
36900,0,0
36800,85,0
36750,5,0
36700,287,0
36700,71,0
36500,3,0
36500,4,0
36200,58,0
36000,56,0
36000,263,0
36000,294,0
36000,21,0
36000,10,0
36000,60,0
36000,8,0
36000,157,0
36000,381,0
36000,18,0
35990,4,0
35900,54,0
35700,535,0
35500,30,0
35429,71,0
35360,641,0
35000,138,0
35000,1907,0
35000,922,0
35000,178,0
35000,788,0
35000,560,0
35000,233,0
35000,17,0
35000,177,0
35000,43,0
35000,143,0
35000,46,0
35000,30,0
35000,202,0
35000,2,0
35000,2,0
35000,9,0
35000,7,0
35000,0,0
35000,81,0
35000,11,0
35000,21,0
35000,14,0
35000,9,0
35000,49,0
35000,7,0
35000,125,0
35000,6,0
35000,50,0
35000,17,0
35000,12,0
35000,4,0
35000,7,0
35000,1,0
35000,41,0
35000,17,0
35000,1,0
35000,17,0
35000,19,0
35000,0,0
35000,31,0
35000,21,0
35000,2,0
35000,77,0
35000,24,0
35000,1,0
34999,5,0
34975,198,0
34900,73,0
34800,48,0
34650,10,0
34600,139,0
34600,67,0
34500,341,0
34500,7,0
34250,151,0
34200,717,0
34200,30,0
34000,243,0
34000,20,0
34000,129,0
34000,120,0
34000,12,0
34000,19,0
34000,32,0
34000,35,0
34000,109,0
34000,20,0
34000,10,0
33999,321,0
33998,180,0
33900,50,0
33900,6,0
33850,11,0
33710,16,0
33500,147,0
33490,398,0
33450,659,0
33300,20,0
33300,41,0
33280,4,0
33100,126,0
33062,6,0
33049,639,0
33000,243,0
33000,13,0
33000,124,0
33000,26,0
33000,209,0
33000,44,0
33000,242,0
33000,154,0
33000,4,0
33000,93,0
33000,10,0
33000,44,0
33000,28,0
33000,22,0
33000,0,0
33000,16,0
33000,0,0
32900,525,0
32875,13,0
32700,139,0
32600,28,0
32500,703,0
32500,2,0
32500,19,0
32500,2,0
32500,6,0
32500,12,0
32000,13,0
32000,436,0
32000,355,0
32000,28,0
32000,11,0
32000,7,0
32000,0,0
32000,122,0
32000,2,0
32000,954,0
32000,95,0
32000,34,0
31900,51,0
31850,44,0
31735,158,0
31600,570,0
31500,12,0
31500,26,0
31500,407,0
31500,18,0
31500,2,0
31498,315,0
31200,60,0
31185,16,0
31000,6,0
31000,17,0
31000,5,0
30998,559,0
30977,81,0
30900,34,0
30900,181,0
30650,28,0
30500,96,0
30500,35,0
30500,70,0
30500,107,0
30400,3,0
30275,10,0
30000,848,0
30000,356,0
30000,385,0
30000,850,0
30000,224,0
30000,1020,0
30000,23,0
30000,149,0
30000,64,0
30000,2,0
30000,40,0
30000,5,0
30000,69,0
30000,24,0
30000,12,0
30000,6,0
30000,17,0
30000,4,0
30000,4,0
30000,6,0
30000,63,0
30000,21,0
30000,13,0
30000,9,0
30000,6,0
30000,153,0
30000,63,0
30000,4,0
30000,65,0
30000,0,0
30000,14,0
30000,0,0
30000,82,0
30000,85,0
30000,4,0
30000,4,0
30000,1,0
30000,15,0
30000,14,0
30000,7,0
30000,0,0
30000,3,0
30000,4,0
30000,46,0
30000,16,0
30000,5,0
30000,0,0
29900,182,0
29900,22,0
29900,1,0
29900,5,0
29800,6,0
29750,79,0
29750,1,0
29600,46,0
29500,34,0
29500,5,0
29500,157,0
29500,232,0
29500,4,0
29500,198,0
29500,2,0
29500,149,0
29500,9,0
29500,88,0
29500,6,0
29500,279,0
29400,2,0
29000,40,0
29000,81,0
29000,4,0
29000,29,0
29000,6,0
29000,17,0
29000,12,0
29000,29,0
29000,4,0
29000,108,0
29000,19,0
29000,66,0
28950,1,0
28950,5,0
28900,208,0
28750,41,0
28735,244,0
28600,6,0
28500,545,0
28500,35,0
28500,59,0
28500,219,0
28500,67,0
28500,32,0
28500,47,0
28500,173,0
28500,1,0
28500,29,0
28490,140,0
28400,31,0
28270,7,0
28200,167,0
28200,2,0
28010,437,0
28000,319,0
28000,8,0
28000,115,0
28000,146,0
28000,95,0
28000,35,0
28000,22,0
28000,14,0
28000,47,0
28000,70,0
28000,4,0
28000,7,0
28000,22,0
28000,5,0
28000,75,0
28000,5,0
28000,86,0
28000,25,0
28000,6,0
28000,14,0
28000,8,0
28000,46,0
27998,883,0
27998,367,0
27900,22,0
27860,168,0
27600,90,0
27600,7,0
27600,4,0
27500,277,0
27500,88,0
27500,85,0
27500,22,0
27500,64,0
27500,33,0
27500,238,0
27500,94,0
27500,50,0
27500,315,0
27500,43,0
27500,8,0
27500,90,0
27500,64,0
27500,37,0
27500,7,0
27500,2,0
27500,227,0
27500,59,0
27500,6,0
27500,349,0
27500,65,0
27475,195,0
27400,2,0
27250,285,0
27216,347,0
27000,6,0
27000,104,0
27000,12,0
27000,147,0
27000,4,0
27000,257,0
27000,17,0
27000,161,0
27000,70,0
27000,550,0
27000,29,0
26999,438,0
26999,222,0
26990,184,0
26950,110,0
26910,53,0
26900,9,0
26900,97,0
26850,20,0
26800,751,0
26800,1165,0
26800,360,0
26600,628,0
26600,47,0
26587,20,0
26555,162,0
26544,179,0
26500,2887,0
26500,620,0
26500,12,0
26500,23,0
26500,71,0
26500,20,0
26500,150,0
26500,129,0
26490,83,0
26400,154,0
26400,81,0
26300,1021,0
26300,165,0
26299,14,0
26200,44,0
26000,1302,0
26000,54,0
26000,68,0
26000,79,0
26000,23,0
26000,109,0
26000,105,0
26000,137,0
26000,29,0
26000,3,0
26000,83,0
26000,42,0
26000,5,0
26000,12,0
26000,298,0
26000,28,0
26000,25,0
26000,589,0
25996,25,0
25935,190,0
25900,120,0
25900,18,0
25850,281,0
25800,160,0
25800,4,0
25800,45,0
25745,3093,0
25745,754,0
25650,436,0
25590,202,0
25520,18,0
25500,362,0
25500,51,0
25500,81,0
25500,1107,0
25500,88,0
25300,96,0
25300,3,0
25050,30,0
25000,294,0
25000,60,0
25000,113,0
25000,67,0
25000,0,0
25000,21,0
25000,14,0
25000,136,0
25000,61,0
25000,55,0
25000,57,0
25000,98,0
25000,8,0
25000,15,0
25000,42,0
25000,52,0
25000,24,0
25000,16,0
25000,20,0
25000,8,0
25000,80,0
25000,25,0
25000,36,0
25000,85,0
25000,220,0
25000,3,0
25000,41,0
25000,25,0
25000,11,0
25000,14,0
25000,12,0
25000,65,0
25000,15,0
25000,44,0
25000,8,0
25000,76,0
25000,159,0
25000,366,0
25000,17,0
25000,2,0
25000,15,0
25000,24,0
25000,182,0
25000,177,0
25000,0,0
25000,352,0
25000,3,0
25000,19,0
25000,6,0
25000,10,0
25000,100,0
25000,19,0
25000,12,0
25000,40,0
24975,148,0
24850,80,0
